common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Sanderling,10,2,23,20,38,0.5,Medium,Summer,Autumn,10,8,0.8,True,Summer + Autumn,夏候鸟 + 秋候鸟
Great/Medium Egret,2,2,2,4,4,0.5,Medium,Summer,Autumn,2,2,1.0,True,Summer + Autumn,夏候鸟 + 秋候鸟
Bull-headed Shrike,62,7,106,142,248,0.43661971830985913,Low,Summer,Autumn,62,51,0.8225806451612904,True,Summer + Autumn,夏候鸟 + 秋候鸟
Red-necked Stint,58,8,137,136,302,0.4264705882352941,Low,Summer,Autumn,58,49,0.8448275862068966,True,Summer + Autumn,夏候鸟 + 秋候鸟
Ruddy Turnstone,11,3,31,26,80,0.4230769230769231,Low,Summer,Autumn,11,9,0.8181818181818182,True,Summer + Autumn,夏候鸟 + 秋候鸟
Eurasian Hobby,319,11,740,837,2457,0.3811230585424134,Low,Summer,Autumn,319,295,0.9247648902821317,True,Summer + Autumn,夏候鸟 + 秋候鸟
Swinhoe's White-eye,232,10,493,646,1940,0.3591331269349845,Low,Summer,Autumn,232,210,0.9051724137931034,True,Summer + Autumn,夏候鸟 + 秋候鸟
Amur Falcon,314,11,764,896,2997,0.35044642857142855,Low,Summer,Autumn,314,300,0.9554140127388535,True,Summer + Autumn,夏候鸟 + 秋候鸟
Arctic Loon,22,4,72,23,73,0.9565217391304348,High,Autumn,Spring,22,1,0.045454545454545456,False,Autumn,秋候鸟
Steppe Eagle,27,8,85,32,92,0.84375,High,Autumn,Spring,27,3,0.1111111111111111,False,Autumn,秋候鸟
Dunlin,56,9,151,68,169,0.8235294117647058,High,Autumn,Spring,56,7,0.125,False,Autumn,秋候鸟
Northern Hawk-Cuckoo,20,4,57,25,65,0.8,High,Autumn,Spring,20,3,0.15,False,Autumn,秋候鸟
Pallas's Sandgrouse,23,6,97,30,104,0.7666666666666667,High,Autumn,Winter,23,7,0.30434782608695654,False,Autumn,秋候鸟
Gray-headed Canary-Flycatcher,9,1,24,12,27,0.75,High,Autumn,Spring,9,3,0.3333333333333333,False,Autumn,秋候鸟
Japanese Leaf/Arctic/Kamchatka Leaf Warbler,6,3,6,8,8,0.75,High,Autumn,Spring,6,2,0.3333333333333333,False,Autumn,秋候鸟
Stejneger's Scoter,11,6,30,16,36,0.6875,Medium,Autumn,Winter,11,4,0.36363636363636365,False,Autumn,秋候鸟
Lesser Whitethroat,23,4,67,34,88,0.6764705882352942,Medium,Autumn,Spring,23,6,0.2608695652173913,False,Autumn,秋候鸟
Imperial Eagle,2,2,3,3,6,0.6666666666666666,Medium,Autumn,Spring,2,1,0.5,False,Autumn,秋候鸟
White's Thrush,132,11,239,200,347,0.66,Medium,Autumn,Spring,132,64,0.48484848484848486,False,Autumn,秋候鸟
Lanceolated Warbler,137,11,269,209,410,0.6555023923444976,Medium,Autumn,Spring,137,43,0.31386861313868614,False,Autumn,秋候鸟
Rufous-bellied Woodpecker,140,11,335,214,466,0.6542056074766355,Medium,Autumn,Spring,140,59,0.42142857142857143,False,Autumn,秋候鸟
Rufous-faced Warbler,17,1,41,26,65,0.6538461538461539,Medium,Autumn,Spring,17,9,0.5294117647058824,False,Autumn,秋候鸟
Zosterops sp.,79,6,152,124,235,0.6370967741935484,Medium,Autumn,Spring,79,38,0.4810126582278481,False,Autumn,秋候鸟
small falcon sp.,7,4,8,11,14,0.6363636363636364,Medium,Autumn,Spring,7,3,0.42857142857142855,False,Autumn,秋候鸟
Manchurian Reed Warbler,25,6,63,40,114,0.625,Medium,Autumn,Spring,25,8,0.32,False,Autumn,秋候鸟
Mugimaki Flycatcher,16,3,49,26,71,0.6153846153846154,Medium,Autumn,Spring,16,10,0.625,False,Autumn,秋候鸟
harrier sp.,31,8,42,51,72,0.6078431372549019,Medium,Autumn,Spring,31,16,0.5161290322580645,False,Autumn,秋候鸟
Siberian Rubythroat,224,11,651,372,1026,0.6021505376344086,Medium,Autumn,Spring,224,140,0.625,False,Autumn,秋候鸟
Chestnut-flanked White-eye,142,10,483,240,674,0.5916666666666667,Medium,Autumn,Spring,142,77,0.5422535211267606,False,Autumn,秋候鸟
Spotted Redshank,140,11,348,238,558,0.5882352941176471,Medium,Autumn,Spring,140,78,0.5571428571428572,False,Autumn,秋候鸟
Horned Grebe,45,8,99,78,193,0.5769230769230769,Medium,Autumn,Spring,45,32,0.7111111111111111,False,Autumn,秋候鸟
Red-breasted Merganser,55,11,166,96,251,0.5729166666666666,Medium,Autumn,Spring,55,22,0.4,False,Autumn,秋候鸟
Aythya sp.,4,2,4,7,7,0.5714285714285714,Medium,Autumn,Spring,4,2,0.5,False,Autumn,秋候鸟
Accipitrine hawk sp. (former Accipiter sp.),33,9,61,58,101,0.5689655172413793,Medium,Autumn,Spring,33,20,0.6060606060606061,False,Autumn,秋候鸟
Northern Shrike,38,8,97,68,159,0.5588235294117647,Medium,Autumn,Winter,38,22,0.5789473684210527,False,Autumn,秋候鸟
Emberiza sp.,104,9,185,189,311,0.5502645502645502,Medium,Autumn,Spring,104,43,0.41346153846153844,False,Autumn,秋候鸟
wagtail sp.,11,2,15,20,29,0.55,Medium,Autumn,Spring,11,5,0.45454545454545453,False,Autumn,秋候鸟
Rufous-tailed Robin,34,8,68,63,123,0.5396825396825397,Medium,Autumn,Spring,34,28,0.8235294117647058,True,Autumn + Spring,秋候鸟 + 春候鸟
Indian Peafowl,16,4,25,30,43,0.5333333333333333,Medium,Autumn,Winter,16,7,0.4375,False,Autumn,秋候鸟
Japanese Sparrowhawk,214,11,661,405,1115,0.528395061728395,Medium,Autumn,Spring,214,160,0.7476635514018691,False,Autumn,秋候鸟
Common Rosefinch,258,11,591,502,1087,0.5139442231075697,Medium,Autumn,Spring,258,158,0.6124031007751938,False,Autumn,秋候鸟
Black-browed Reed Warbler,383,11,1241,746,2598,0.5134048257372654,Medium,Autumn,Spring,383,207,0.5404699738903395,False,Autumn,秋候鸟
Oriental Honey-buzzard,216,11,733,427,1411,0.5058548009367682,Medium,Autumn,Spring,216,183,0.8472222222222222,True,Autumn + Spring,秋候鸟 + 春候鸟
Black-legged Kittiwake,16,5,47,32,98,0.5,Medium,Autumn,Spring,16,16,1.0,True,Autumn + Spring,秋候鸟 + 春候鸟
Pechora Pipit,8,4,10,16,25,0.5,Medium,Autumn,Spring,8,7,0.875,True,Autumn + Spring,秋候鸟 + 春候鸟
Water/Siberian/American Pipit,4,3,7,8,14,0.5,Medium,Autumn,Spring,4,2,0.5,False,Autumn,秋候鸟
Yellow-browed Warbler,527,11,3159,1058,6232,0.498109640831758,Low,Autumn,Spring,527,428,0.8121442125237192,True,Autumn + Spring,秋候鸟 + 春候鸟
Red-throated Pipit,167,11,354,339,725,0.49262536873156343,Low,Autumn,Spring,167,161,0.9640718562874252,True,Autumn + Spring,秋候鸟 + 春候鸟
Amur Stonechat,318,11,1314,653,2806,0.4869831546707504,Low,Autumn,Spring,318,253,0.7955974842767296,True,Autumn + Spring,秋候鸟 + 春候鸟
Medium Egret,199,9,582,410,1013,0.4853658536585366,Low,Autumn,Summer,199,145,0.7286432160804021,False,Autumn,秋候鸟
Dusky Warbler,419,11,1783,866,4029,0.4838337182448037,Low,Autumn,Spring,419,363,0.8663484486873508,True,Autumn + Spring,秋候鸟 + 春候鸟
Caspian Tern,68,9,138,141,283,0.48226950354609927,Low,Autumn,Spring,68,49,0.7205882352941176,False,Autumn,秋候鸟
Lapland Longspur,105,10,206,218,411,0.481651376146789,Low,Autumn,Winter,105,103,0.9809523809523809,True,Autumn + Winter,秋候鸟 + 冬候鸟
Yellow-browed Bunting,156,8,261,324,565,0.48148148148148145,Low,Autumn,Spring,156,117,0.75,True,Autumn + Spring,秋候鸟 + 春候鸟
Red-necked Grebe,13,3,42,27,80,0.48148148148148145,Low,Autumn,Spring,13,12,0.9230769230769231,True,Autumn + Spring,秋候鸟 + 春候鸟
Olive-backed Pipit,428,11,1706,890,3831,0.48089887640449436,Low,Autumn,Spring,428,374,0.8738317757009346,True,Autumn + Spring,秋候鸟 + 春候鸟
Taiga Flycatcher,341,11,1801,735,4638,0.4639455782312925,Low,Autumn,Spring,341,307,0.9002932551319648,True,Autumn + Spring,秋候鸟 + 春候鸟
Redpoll,50,7,108,109,217,0.45871559633027525,Low,Autumn,Winter,50,48,0.96,True,Autumn + Winter,秋候鸟 + 冬候鸟
white-eye sp.,93,8,155,204,311,0.45588235294117646,Low,Autumn,Spring,93,61,0.6559139784946236,False,Autumn,秋候鸟
Eurasian Skylark,362,11,1178,799,2262,0.4530663329161452,Low,Autumn,Spring,362,288,0.7955801104972375,True,Autumn + Spring,秋候鸟 + 春候鸟
