common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Taiga Bean-Goose,218,11,522,361,767,0.6038781163434903,Medium,Spring,Autumn,218,84,0.3853211009174312,False,Spring,春候鸟
Black-winged Stilt,495,12,2103,825,2787,0.6,Medium,Spring,Summer,495,276,0.5575757575757576,False,Spring,春候鸟
Eurasian Woodcock,72,11,115,121,217,0.5950413223140496,Medium,Spring,Autumn,72,26,0.3611111111111111,False,Spring,春候鸟
Common Shelduck,279,11,645,471,981,0.5923566878980892,Medium,Spring,Autumn,279,99,0.3548387096774194,False,Spring,春候鸟
Swinhoe's Snipe,13,4,18,22,63,0.5909090909090909,Medium,Spring,Summer,13,9,0.6923076923076923,False,Spring,春候鸟
Greater Spotted Eagle,127,11,257,215,537,0.5906976744186047,Medium,Spring,Autumn,127,88,0.6929133858267716,False,Spring,春候鸟
gull sp.,10,3,13,17,22,0.5882352941176471,Medium,Spring,Autumn,10,5,0.5,False,Spring,春候鸟
Greater White-fronted Goose,97,10,240,166,350,0.5843373493975904,Medium,Spring,Winter,97,42,0.4329896907216495,False,Spring,春候鸟
Eared Grebe,74,11,179,127,323,0.5826771653543307,Medium,Spring,Autumn,74,47,0.6351351351351351,False,Spring,春候鸟
shorebird sp.,8,4,8,14,14,0.5714285714285714,Medium,Spring,Summer,8,3,0.375,False,Spring,春候鸟
Mallard x Northern Pintail (hybrid),4,3,4,7,7,0.5714285714285714,Medium,Spring,Winter,4,2,0.5,False,Spring,春候鸟
Tristram's Bunting,198,12,514,347,738,0.5706051873198847,Medium,Spring,Autumn,198,102,0.5151515151515151,False,Spring,春候鸟
Hume's Warbler,130,10,271,229,439,0.5676855895196506,Medium,Spring,Summer,130,84,0.6461538461538462,False,Spring,春候鸟
Curlew Sandpiper,35,12,68,62,131,0.5645161290322581,Medium,Spring,Summer,35,19,0.5428571428571428,False,Spring,春候鸟
Pallas's/Reed Bunting,9,4,12,16,20,0.5625,Medium,Spring,Winter,9,4,0.4444444444444444,False,Spring,春候鸟
Bluethroat,150,12,344,268,567,0.5597014925373134,Medium,Spring,Autumn,150,109,0.7266666666666667,False,Spring,春候鸟
Common Swift,559,12,3642,1000,5093,0.559,Medium,Spring,Summer,559,429,0.7674418604651163,True,Spring + Summer,春候鸟 + 夏候鸟
Pacific Golden-Plover,91,12,219,163,368,0.558282208588957,Medium,Spring,Autumn,91,67,0.7362637362637363,False,Spring,春候鸟
Scolopacidae sp.,5,3,7,9,11,0.5555555555555556,Medium,Spring,Autumn,5,4,0.8,True,Spring + Autumn,春候鸟 + 秋候鸟
Western/Eastern Yellow Wagtail,5,3,8,9,15,0.5555555555555556,Medium,Spring,Autumn,5,3,0.6,False,Spring,春候鸟
Siberian Pipit,347,12,934,626,1567,0.5543130990415336,Medium,Spring,Autumn,347,225,0.6484149855907781,False,Spring,春候鸟
Forest Wagtail,99,11,248,179,417,0.553072625698324,Medium,Spring,Summer,99,74,0.7474747474747475,False,Spring,春候鸟
