date,year,month,day,season,temperature,extreme_high_temp,extreme_low_temp,prcp,snow,humidity
2017-04-05,2017,4,5,Spring,14.2,0,0,0.0,0.0,68.45833333333333
2017-04-06,2017,4,6,Spring,18.1,0,0,0.0,0.0,61.666666666666664
2017-04-07,2017,4,7,Spring,14.1,0,0,0.0,0.0,57.333333333333336
2017-04-08,2017,4,8,Spring,13.3,0,0,0.0,0.0,45.75
2017-04-09,2017,4,9,Spring,14.1,0,0,0.0,0.0,55.25
2017-04-10,2017,4,10,Spring,15.3,0,0,0.0,0.0,44.291666666666664
2017-04-11,2017,4,11,Spring,13.5,0,0,0.0,0.0,26.5
2017-04-12,2017,4,12,Spring,14.9,0,0,0.1,0.0,27.625
2017-04-13,2017,4,13,Spring,13.7,0,0,0.0,0.0,36.125
2017-04-14,2017,4,14,Spring,18.2,0,0,0.0,0.0,44.666666666666664
2017-04-15,2017,4,15,Spring,23.1,1,0,0.0,0.0,31.583333333333332
2017-04-16,2017,4,16,Spring,17.6,0,0,0.0,0.0,42.083333333333336
2017-04-17,2017,4,17,Spring,20.6,0,0,0.0,0.0,47.583333333333336
2017-04-19,2017,4,19,Spring,10.2,0,0,0.0,0.0,34.458333333333336
2017-04-20,2017,4,20,Spring,15.9,0,0,0.0,0.0,41.708333333333336
2017-04-21,2017,4,21,Spring,16.7,0,0,0.0,0.0,28.916666666666668
2017-04-22,2017,4,22,Spring,20.4,0,0,0.0,0.0,29.083333333333332
2017-04-23,2017,4,23,Spring,16.8,0,0,0.0,0.0,23.875
2017-04-24,2017,4,24,Spring,17.3,0,0,0.0,0.0,23.666666666666668
2017-04-25,2017,4,25,Spring,13.5,0,0,0.1,0.0,16.916666666666668
2017-04-26,2017,4,26,Spring,18.9,0,0,0.0,0.0,18.75
2017-04-28,2017,4,28,Spring,25.3,1,0,0.0,0.0,14.5
2017-04-29,2017,4,29,Spring,25.6,1,0,0.0,0.0,21.666666666666668
2017-04-30,2017,4,30,Spring,21.0,0,0,0.0,0.0,17.791666666666668
2017-05-01,2017,5,1,Summer,19.9,0,0,0.0,0.0,25.083333333333332
2017-05-02,2017,5,2,Summer,22.9,0,0,0.0,0.0,34.875
2017-05-04,2017,5,4,Summer,21.3,0,0,0.0,0.0,41.791666666666664
2017-05-06,2017,5,6,Summer,20.7,1,0,0.0,0.0,19.208333333333332
2017-05-07,2017,5,7,Summer,23.9,1,0,0.0,0.0,24.958333333333332
2017-05-08,2017,5,8,Summer,23.6,1,0,0.0,0.0,34.041666666666664
2017-05-09,2017,5,9,Summer,21.0,0,0,0.0,0.0,37.916666666666664
2017-05-10,2017,5,10,Summer,23.6,1,0,0.0,0.0,44.708333333333336
2017-05-12,2017,5,12,Summer,22.4,0,0,0.1,0.0,15.708333333333334
2017-05-14,2017,5,14,Summer,21.9,0,0,0.0,0.0,30.25
2017-05-15,2017,5,15,Summer,22.4,0,0,0.0,0.0,28.791666666666668
2017-05-16,2017,5,16,Summer,25.1,1,0,0.0,0.0,35.791666666666664
2017-05-17,2017,5,17,Summer,25.3,1,0,0.0,0.0,46.541666666666664
2017-05-18,2017,5,18,Summer,28.8,1,0,0.0,0.0,54.333333333333336
2017-05-19,2017,5,19,Summer,29.0,1,0,0.0,0.0,48.166666666666664
2017-05-21,2017,5,21,Summer,23.8,0,0,0.0,0.0,54.333333333333336
2017-05-23,2017,5,23,Summer,22.6,1,0,0.0,0.0,58.916666666666664
2017-05-24,2017,5,24,Summer,26.6,1,0,0.0,0.0,34.208333333333336
2017-05-25,2017,5,25,Summer,22.9,0,0,0.0,0.0,34.5
2017-05-26,2017,5,26,Summer,22.7,0,0,0.0,0.0,43.458333333333336
2017-05-27,2017,5,27,Summer,24.7,1,0,0.0,0.0,53.416666666666664
2017-05-28,2017,5,28,Summer,29.4,1,0,0.0,0.0,50.583333333333336
2017-05-29,2017,5,29,Summer,21.1,0,0,0.0,0.0,46.166666666666664
2017-05-31,2017,5,31,Summer,25.4,1,0,0.1,0.0,57.291666666666664
2017-06-01,2017,6,1,Summer,25.4,1,0,0.0,0.0,46.0
2017-06-02,2017,6,2,Summer,17.5,0,0,0.5,0.0,42.541666666666664
