year,month,year_month,temperature,extreme_high_temp,extreme_low_temp,prcp,snow,humidity
2017,1,2017-01,-2.253846153846154,0,26,1.7000000000000002,0.56,49.229838709677416
2017,2,2017-02,2.466666666666667,0,22,1.6,1.12,42.76190476190476
2017,3,2017-03,9.204347826086956,0,8,17.2,1.6099999999999999,40.219086021505376
2017,4,2017-04,16.946428571428573,3,0,0.5,0.0,35.30138888888889
2017,5,2017-05,23.791666666666668,13,0,16.0,0.0,40.814516129032256
2017,6,2017-06,26.978947368421053,16,0,87.2,0.0,48.94583333333333
2017,7,2017-07,27.894736842105264,16,0,237.7,0.0,74.84946236559139
2017,8,2017-08,26.56875,11,0,153.3,0.0,77.21102150537635
2017,9,2017-09,21.782758620689656,11,0,2.8000000000000003,0.0,61.39861111111111
2017,10,2017-10,12.345454545454546,0,1,76.4,0.0,71.06586021505376
2017,11,2017-11,3.026923076923077,0,19,0.1,0.0,47.6
2017,12,2017-12,-1.2357142857142858,0,28,0.0,0.0,42.08736559139785
2018,1,2018-01,-3.528,0,25,1.1,0.77,30.767473118279568
2018,2,2018-02,-0.9333333333333332,0,23,1.0,0.42000000000000004,32.748511904761905
2018,3,2018-03,8.514814814814814,0,12,2.5,1.75,48.053763440860216
2018,4,2018-04,17.357142857142858,0,0,50.6,2.87,48.608333333333334
2018,5,2018-05,22.704,12,0,20.8,0.0,52.13172043010753
2018,6,2018-06,27.373684210526317,16,0,28.7,0.0,49.419444444444444
2018,7,2018-07,28.783333333333335,16,0,208.4,0.0,77.19220430107526
2018,8,2018-08,27.82608695652174,19,0,160.9,0.0,75.19489247311827
2018,9,2018-09,20.36521739130435,3,0,20.8,0.0,54.17638888888889
2018,10,2018-10,12.012500000000001,0,1,9.1,0.0,45.788978494623656
2018,11,2018-11,5.006666666666666,0,20,5.6,0.0,55.65972222222222
2018,12,2018-12,-2.524,0,23,2.4,0.0,31.322580645161292
2019,1,2019-01,-1.9642857142857142,0,28,0.0,0.0,29.263440860215052
2019,2,2019-02,0.0454545454545455,0,22,2.9000000000000004,2.0300000000000002,38.973214285714285
2019,3,2019-03,9.6,0,10,8.0,0.77,32.42607526881721
2019,4,2019-04,15.885714285714286,0,0,33.0,0.0,43.333333333333336
2019,5,2019-05,23.004545454545454,13,0,17.9,0.0,36.240591397849464
2019,6,2019-06,27.13181818181818,22,0,55.3,0.0,52.484722222222224
2019,7,2019-07,28.889473684210525,18,0,156.4,0.0,67.11827956989248
2019,8,2019-08,25.83888888888889,17,0,105.7,0.0,70.3225806451613
2019,9,2019-09,22.968000000000004,14,0,16.7,0.0,53.275
2019,10,2019-10,13.259090909090908,1,0,19.6,0.0,57.693548387096776
2019,11,2019-11,5.345454545454545,0,12,17.3,0.9800000000000001,54.24166666666667
2019,12,2019-12,-1.5888888888888888,0,27,4.1,2.87,48.14650537634409
2020,1,2020-01,-1.8642857142857143,0,28,3.4,2.31,51.07661290322581
2020,2,2020-02,2.3125,0,14,20.0,9.17,57.729885057471265
2020,3,2020-03,9.330434782608695,0,11,12.4,0.49,40.73924731182796
2020,4,2020-04,15.691666666666668,3,0,10.7,0.0,28.822222222222223
2020,5,2020-05,20.98,11,0,29.400000000000002,0.0,50.931451612903224
2020,6,2020-06,27.14,24,0,18.4,0.0,48.19166666666667
2020,7,2020-07,27.104761904761908,18,0,73.7,0.0,68.7002688172043
2020,8,2020-08,26.29047619047619,16,0,239.1,0.0,78.7513440860215
2020,9,2020-09,21.52173913043478,8,0,57.4,0.0,67.04027777777777
2020,10,2020-10,12.356666666666666,0,0,4.4,0.0,52.94086021505376
2020,11,2020-11,5.192592592592592,0,15,26.5,3.15,55.25277777777778
2020,12,2020-12,-2.7333333333333334,0,27,0.1,0.07,42.03763440860215
2021,1,2021-01,-4.2407407407407405,0,27,1.4000000000000001,0.9800000000000001,40.67741935483871
2021,2,2021-02,1.936,0,23,13.7,1.6099999999999999,51.87202380952381
2021,3,2021-03,9.5,0,4,21.2,2.59,58.11290322580645
2021,4,2021-04,15.046153846153846,0,0,7.7,0.0,40.891666666666666
2021,5,2021-05,20.523809523809526,6,0,22.7,0.0,43.11424731182796
2021,6,2021-06,26.366666666666667,17,0,49.2,0.0,53.858333333333334
2021,7,2021-07,27.642857142857142,14,0,289.4,0.0,82.2486559139785
2021,8,2021-08,25.823529411764707,14,0,124.0,0.0,76.73790322580645
2021,9,2021-09,22.42,5,0,170.1,0.0,81.10555555555555
2021,10,2021-10,11.692,0,2,75.3,0.0,65.89247311827957
2021,11,2021-11,5.7,0,12,23.2,11.9,65.8236111111111
2021,12,2021-12,-0.04814814814814814,0,26,3.2,0.07,49.35215053763441
2022,1,2022-01,-2.759259259259259,0,27,3.1,2.1,49.678763440860216
2022,2,2022-02,-1.1884615384615385,0,26,4.3,3.08,36.60267857142857
2022,3,2022-03,7.524,0,12,9.6,2.66,49.961021505376344
2022,4,2022-04,16.122222222222224,0,0,11.4,0.0,39.263888888888886
2022,5,2022-05,21.925,17,0,12.9,0.0,44.208333333333336
2022,6,2022-06,25.835,14,0,154.4,0.0,60.74722222222222
2022,7,2022-07,28.68333333333333,17,0,150.8,0.0,73.0752688172043
2022,8,2022-08,25.757142857142856,17,0,144.3,0.0,73.125
2022,9,2022-09,22.232,18,0,1.2000000000000002,0.0,57.891666666666666
2022,10,2022-10,11.637037037037036,0,1,15.700000000000001,0.0,55.93682795698925
2022,11,2022-11,5.903846153846154,0,14,27.2,0.0,63.19444444444444
2022,12,2022-12,-4.203846153846154,0,26,0.1,0.07,30.151881720430108
2023,1,2023-01,-2.9666666666666663,0,27,5.7,2.31,35.388440860215056
2023,2,2023-02,0.7239999999999999,0,25,5.6,3.15,52.94345238095238
2023,3,2023-03,9.875,0,12,2.1,0.28,38.60618279569893
2023,4,2023-04,15.308333333333332,0,0,32.2,0.0,42.12916666666667
2023,5,2023-05,21.886956521739133,8,0,22.6,0.0,50.74596774193548
2023,6,2023-06,28.61923076923077,26,0,11.5,0.0,40.391666666666666
2023,7,2023-07,30.42777777777778,18,0,485.40000000000003,0.0,62.60349462365591
2023,8,2023-08,27.380000000000003,16,0,98.2,0.0,77.48924731182795
2023,9,2023-09,22.14074074074074,11,0,39.8,0.0,71.53333333333333
2023,10,2023-10,14.822222222222221,0,0,9.8,0.0,60.193548387096776
2023,11,2023-11,4.1000000000000005,0,17,7.3,0.0,49.92638888888889
2023,12,2023-12,-2.7545454545454544,0,22,18.400000000000002,12.67,54.55241935483871
2024,1,2024-01,-2.0592592592592593,0,27,0.5,0.42000000000000004,49.333333333333336
