common_name,exclusion_reason
plover sp.,Accidental rare species
sand-plover sp.,Accidental rare species
small bittern sp.,Accidental rare species
small plover sp.,Accidental rare species
small swift sp.,Accidental rare species
swift sp.,Accidental rare species
tern sp.,Accidental rare species
waterfowl sp.,Accidental rare species
Asian Tit,Resident species
Azure-winged Magpie,Resident species
Bearded Reedling,Resident species
Beijing Babbler,Resident species
Black Stork,Resident species
Black-crowned Night Heron,Resident species
Carrion Crow,Resident species
Chinese Blackbird,Resident species
Chinese Gray Shrike,Resident species
Common Hoopoe,Resident species
Common Kingfisher,Resident species
Crested Myna,Resident species
Daurian Redstart,Resident species
Eastern Spot-billed Duck,Resident species
Eurasian Collared-Dove,Resident species
Eurasian Coot,Resident species
Eurasian Kestrel,Resident species
Eurasian Moorhen,Resident species
Eurasian Sparrowhawk,Resident species
Eurasian Tree Sparrow,Resident species
Gadwall,Resident species
Godlewski's Bunting,Resident species
Gray Heron,Resident species
Gray Wagtail,Resident species
Gray-capped Pygmy Woodpecker,Resident species
Gray-headed Woodpecker,Resident species
Great Cormorant,Resident species
Great Crested Grebe,Resident species
Great Egret,Resident species
Great Spotted Woodpecker,Resident species
Green Sandpiper,Resident species
Green-winged Teal,Resident species
Hill Pigeon,Resident species
Large-billed Crow,Resident species
Light-vented Bulbul,Resident species
Little Egret,Resident species
Little Grebe,Resident species
Long-billed Plover,Resident species
Mallard,Resident species
Mandarin Duck,Resident species
Marsh Tit,Resident species
Meadow Bunting,Resident species
Oriental Greenfinch,Resident species
Oriental Magpie,Resident species
Oriental Turtle-Dove,Resident species
Pallas's Bunting,Resident species
Pere David's Laughingthrush,Resident species
Peregrine Falcon,Resident species
Red-billed Blue-Magpie,Resident species
Red-billed Starling,Resident species
Reed Parrotbill,Resident species
Ring-necked Pheasant,Resident species
Rock Pigeon,Resident species
Ruddy Shelduck,Resident species
Silver-throated Tit,Resident species
Snowy-browed Nuthatch,Resident species
Spotted Dove,Resident species
Vinous-throated Parrotbill,Resident species
White Wagtail,Resident species
White-cheeked Starling,Resident species
Willow Tit,Resident species
Yellow-bellied Tit,Resident species
Yellow-billed Grosbeak,Resident species
Yellow-throated Bunting,Resident species
