environment_factor,10th_percentile,25th_percentile,median,75th_percentile,90th_percentile
humidity,0.19708355997489985,0.3270206030377327,0.46528616057465444,0.6670087267103112,0.7746282223429092
prcp,0.18698640628876206,0.31693893817309793,0.4724143595681023,0.6341627096931846,0.780814413452455
temperature,0.14460234585380835,0.2710701621333437,0.4329203703383502,0.6119049121284479,0.729023822753658
