common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Daurian Jackdaw,356,12,1099,883,2613,0.4031710079275198,Low,Spring,Autumn,356,320,0.898876404494382,True,Spring + Autumn,春候鸟 + 秋候鸟
Common Greenshank,121,12,280,301,696,0.4019933554817276,Low,Spring,Autumn,121,114,0.9421487603305785,True,Spring + Autumn,春候鸟 + 秋候鸟
crow/raven sp.,16,4,21,40,53,0.4,Low,Spring,Autumn,16,14,0.875,True,Spring + Autumn,春候鸟 + 秋候鸟
Thick-billed Warbler,130,11,431,326,806,0.3987730061349693,Low,Spring,Autumn,130,114,0.8769230769230769,True,Spring + Autumn,春候鸟 + 秋候鸟
Eastern Cattle-Egret,122,12,234,308,540,0.3961038961038961,Low,Spring,Summer,122,117,0.9590163934426229,True,Spring + Summer,春候鸟 + 夏候鸟
Eastern Buzzard,474,12,2074,1226,4517,0.3866231647634584,Low,Spring,Autumn,474,377,0.7953586497890295,True,Spring + Autumn,春候鸟 + 秋候鸟
Red-flanked/Qilian Bluetail,287,12,823,743,1717,0.38627187079407804,Low,Spring,Autumn,287,238,0.8292682926829268,True,Spring + Autumn,春候鸟 + 秋候鸟
Japanese Grosbeak,13,6,22,34,62,0.38235294117647056,Low,Spring,Winter,13,12,0.9230769230769231,True,Spring + Winter,春候鸟 + 冬候鸟
Muscovy Duck,21,4,27,55,78,0.38181818181818183,Low,Spring,Winter,21,17,0.8095238095238095,True,Spring + Winter,春候鸟 + 冬候鸟
Little Bunting,642,12,3133,1733,7249,0.3704558568955568,Low,Spring,Autumn,642,620,0.9657320872274143,True,Spring + Autumn,春候鸟 + 秋候鸟
Graylag x Swan Goose (hybrid),49,8,78,134,216,0.3656716417910448,Low,Spring,Autumn,49,49,1.0,True,Spring + Autumn,春候鸟 + 秋候鸟
myna/starling sp.,4,3,7,11,18,0.36363636363636365,Low,Spring,Autumn,4,4,1.0,True,Spring + Autumn,春候鸟 + 秋候鸟
Crested Lark,39,9,84,113,208,0.34513274336283184,Low,Spring,Autumn,39,35,0.8974358974358975,True,Spring + Autumn,春候鸟 + 秋候鸟
Eurasian Wryneck,50,11,67,146,301,0.3424657534246575,Low,Spring,Summer,50,48,0.96,True,Spring + Summer,春候鸟 + 夏候鸟
passerine sp.,37,9,50,110,147,0.33636363636363636,Low,Spring,Autumn,37,35,0.9459459459459459,True,Spring + Autumn,春候鸟 + 秋候鸟
Ferruginous Duck/Baer's Pochard,2,2,5,6,9,0.3333333333333333,Low,Spring,Winter,2,2,1.0,True,Spring + Winter,春候鸟 + 冬候鸟
heron sp.,2,1,3,6,7,0.3333333333333333,Low,Spring,Summer,2,2,1.0,True,Spring + Summer,春候鸟 + 夏候鸟
Calidris sp.,1,1,4,3,6,0.3333333333333333,Low,Spring,Summer,1,1,1.0,True,Spring + Summer,春候鸟 + 夏候鸟
Chinese Thrush,96,12,199,293,551,0.32764505119453924,Low,Spring,Autumn,96,89,0.9270833333333334,True,Spring + Autumn,春候鸟 + 秋候鸟
Little Owl,116,10,216,358,655,0.3240223463687151,Low,Spring,Winter,116,105,0.9051724137931034,True,Spring + Winter,春候鸟 + 冬候鸟
Black Swan,246,11,544,772,1512,0.31865284974093266,Low,Spring,Winter,246,225,0.9146341463414634,True,Spring + Winter,春候鸟 + 冬候鸟
crow sp.,66,10,106,209,319,0.3157894736842105,Low,Spring,Winter,66,64,0.9696969696969697,True,Spring + Winter,春候鸟 + 冬候鸟
Marsh/Willow Tit,12,4,15,38,47,0.3157894736842105,Low,Spring,Winter,12,10,0.8333333333333334,True,Spring + Winter,春候鸟 + 冬候鸟
Yellow-rumped Flycatcher,224,11,616,415,1350,0.5397590361445783,Medium,Summer,Spring,224,174,0.7767857142857143,True,Summer + Spring,夏候鸟 + 春候鸟
Asian Stubtail,120,9,279,228,546,0.5263157894736842,Medium,Summer,Spring,120,96,0.8,True,Summer + Spring,夏候鸟 + 春候鸟
Sanderling,10,2,23,20,38,0.5,Medium,Summer,Autumn,10,8,0.8,True,Summer + Autumn,夏候鸟 + 秋候鸟
Great/Medium Egret,2,2,2,4,4,0.5,Medium,Summer,Autumn,2,2,1.0,True,Summer + Autumn,夏候鸟 + 秋候鸟
Pacific Swift,107,11,202,219,393,0.4885844748858447,Low,Summer,Spring,107,102,0.9532710280373832,True,Summer + Spring,夏候鸟 + 春候鸟
Rosy Pipit,43,9,75,89,147,0.48314606741573035,Low,Summer,Spring,43,38,0.8837209302325582,True,Summer + Spring,夏候鸟 + 春候鸟
Himalayan Owl,60,9,119,129,236,0.46511627906976744,Low,Summer,Spring,60,59,0.9833333333333333,True,Summer + Spring,夏候鸟 + 春候鸟
Russet Sparrow,195,11,480,424,937,0.45990566037735847,Low,Summer,Spring,195,177,0.9076923076923077,True,Summer + Spring,夏候鸟 + 春候鸟
Hair-crested Drongo,75,11,141,164,289,0.4573170731707317,Low,Summer,Spring,75,65,0.8666666666666667,True,Summer + Spring,夏候鸟 + 春候鸟
Eastern Red-rumped Swallow,588,11,1711,1296,4536,0.4537037037037037,Low,Summer,Spring,588,481,0.8180272108843537,True,Summer + Spring,夏候鸟 + 春候鸟
Claudia's Leaf Warbler,214,11,574,476,1219,0.4495798319327731,Low,Summer,Spring,214,210,0.9813084112149533,True,Summer + Spring,夏候鸟 + 春候鸟
White-winged Tern,46,10,77,103,186,0.44660194174757284,Low,Summer,Spring,46,39,0.8478260869565217,True,Summer + Spring,夏候鸟 + 春候鸟
Green-backed Flycatcher,122,9,286,275,654,0.44363636363636366,Low,Summer,Spring,122,114,0.9344262295081968,True,Summer + Spring,夏候鸟 + 春候鸟
Bull-headed Shrike,62,7,106,142,248,0.43661971830985913,Low,Summer,Autumn,62,51,0.8225806451612904,True,Summer + Autumn,夏候鸟 + 秋候鸟
Red-necked Stint,58,8,137,136,302,0.4264705882352941,Low,Summer,Autumn,58,49,0.8448275862068966,True,Summer + Autumn,夏候鸟 + 秋候鸟
Chinese Sparrowhawk,110,10,193,258,513,0.4263565891472868,Low,Summer,Spring,110,96,0.8727272727272727,True,Summer + Spring,夏候鸟 + 春候鸟
Ruddy Turnstone,11,3,31,26,80,0.4230769230769231,Low,Summer,Autumn,11,9,0.8181818181818182,True,Summer + Autumn,夏候鸟 + 秋候鸟
Koklass Pheasant,38,8,70,91,170,0.4175824175824176,Low,Summer,Spring,38,29,0.7631578947368421,True,Summer + Spring,夏候鸟 + 春候鸟
swallow sp.,10,6,13,24,36,0.4166666666666667,Low,Summer,Spring,10,10,1.0,True,Summer + Spring,夏候鸟 + 春候鸟
Barn Swallow,737,11,3322,1798,10555,0.40989988876529476,Low,Summer,Spring,737,732,0.9932157394843962,True,Summer + Spring,夏候鸟 + 春候鸟
Dark-sided Flycatcher,154,11,399,378,1238,0.4074074074074074,Low,Summer,Spring,154,143,0.9285714285714286,True,Summer + Spring,夏候鸟 + 春候鸟
Eurasian Hobby,319,11,740,837,2457,0.3811230585424134,Low,Summer,Autumn,319,295,0.9247648902821317,True,Summer + Autumn,夏候鸟 + 秋候鸟
Swinhoe's White-eye,232,10,493,646,1940,0.3591331269349845,Low,Summer,Autumn,232,210,0.9051724137931034,True,Summer + Autumn,夏候鸟 + 秋候鸟
Amur Falcon,314,11,764,896,2997,0.35044642857142855,Low,Summer,Autumn,314,300,0.9554140127388535,True,Summer + Autumn,夏候鸟 + 秋候鸟
Eurasian Nuthatch,152,11,308,527,1076,0.2884250474383302,Low,Summer,Spring,152,131,0.8618421052631579,True,Summer + Spring,夏候鸟 + 春候鸟
Rufous-tailed Robin,34,8,68,63,123,0.5396825396825397,Medium,Autumn,Spring,34,28,0.8235294117647058,True,Autumn + Spring,秋候鸟 + 春候鸟
Oriental Honey-buzzard,216,11,733,427,1411,0.5058548009367682,Medium,Autumn,Spring,216,183,0.8472222222222222,True,Autumn + Spring,秋候鸟 + 春候鸟
Black-legged Kittiwake,16,5,47,32,98,0.5,Medium,Autumn,Spring,16,16,1.0,True,Autumn + Spring,秋候鸟 + 春候鸟
Pechora Pipit,8,4,10,16,25,0.5,Medium,Autumn,Spring,8,7,0.875,True,Autumn + Spring,秋候鸟 + 春候鸟
Yellow-browed Warbler,527,11,3159,1058,6232,0.498109640831758,Low,Autumn,Spring,527,428,0.8121442125237192,True,Autumn + Spring,秋候鸟 + 春候鸟
Red-throated Pipit,167,11,354,339,725,0.49262536873156343,Low,Autumn,Spring,167,161,0.9640718562874252,True,Autumn + Spring,秋候鸟 + 春候鸟
Amur Stonechat,318,11,1314,653,2806,0.4869831546707504,Low,Autumn,Spring,318,253,0.7955974842767296,True,Autumn + Spring,秋候鸟 + 春候鸟
Dusky Warbler,419,11,1783,866,4029,0.4838337182448037,Low,Autumn,Spring,419,363,0.8663484486873508,True,Autumn + Spring,秋候鸟 + 春候鸟
Lapland Longspur,105,10,206,218,411,0.481651376146789,Low,Autumn,Winter,105,103,0.9809523809523809,True,Autumn + Winter,秋候鸟 + 冬候鸟
Yellow-browed Bunting,156,8,261,324,565,0.48148148148148145,Low,Autumn,Spring,156,117,0.75,True,Autumn + Spring,秋候鸟 + 春候鸟
Red-necked Grebe,13,3,42,27,80,0.48148148148148145,Low,Autumn,Spring,13,12,0.9230769230769231,True,Autumn + Spring,秋候鸟 + 春候鸟
Olive-backed Pipit,428,11,1706,890,3831,0.48089887640449436,Low,Autumn,Spring,428,374,0.8738317757009346,True,Autumn + Spring,秋候鸟 + 春候鸟
Taiga Flycatcher,341,11,1801,735,4638,0.4639455782312925,Low,Autumn,Spring,341,307,0.9002932551319648,True,Autumn + Spring,秋候鸟 + 春候鸟
Redpoll,50,7,108,109,217,0.45871559633027525,Low,Autumn,Winter,50,48,0.96,True,Autumn + Winter,秋候鸟 + 冬候鸟
Eurasian Skylark,362,11,1178,799,2262,0.4530663329161452,Low,Autumn,Spring,362,288,0.7955801104972375,True,Autumn + Spring,秋候鸟 + 春候鸟
Cuculus sp.,17,6,24,38,58,0.4473684210526316,Low,Autumn,Summer,17,14,0.8235294117647058,True,Autumn + Summer,秋候鸟 + 夏候鸟
finch sp.,4,2,6,9,13,0.4444444444444444,Low,Autumn,Spring,4,3,0.75,True,Autumn + Spring,秋候鸟 + 春候鸟
Richard's Pipit,213,11,554,490,1237,0.4346938775510204,Low,Autumn,Spring,213,181,0.8497652582159625,True,Autumn + Spring,秋候鸟 + 春候鸟
Phylloscopus sp.,79,10,99,182,230,0.4340659340659341,Low,Autumn,Spring,79,68,0.8607594936708861,True,Autumn + Spring,秋候鸟 + 春候鸟
Eurasian Goshawk,265,11,773,616,1514,0.4301948051948052,Low,Autumn,Spring,265,219,0.8264150943396227,True,Autumn + Spring,秋候鸟 + 春候鸟
