common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Rufous-tailed Robin,34,8,68,63,123,0.5396825396825397,Medium,Autumn,Spring,34,28,0.8235294117647058,True,Autumn + Spring,秋候鸟 + 春候鸟
Black-bellied Plover,11,5,20,23,44,0.4782608695652174,Low,Spring,Autumn,11,9,0.8181818181818182,True,Spring + Autumn,春候鸟 + 秋候鸟
European Starling,93,12,197,173,331,0.5375722543352601,Medium,Spring,Autumn,93,76,0.8172043010752689,True,Spring + Autumn,春候鸟 + 秋候鸟
Yellow-browed Warbler,527,11,3159,1058,6232,0.498109640831758,Low,Autumn,Spring,527,428,0.8121442125237192,True,Autumn + Spring,秋候鸟 + 春候鸟
Eastern Marsh Harrier,330,12,1085,692,2157,0.476878612716763,Low,Spring,Autumn,330,267,0.8090909090909091,True,Spring + Autumn,春候鸟 + 秋候鸟
Ashy Minivet,52,10,78,95,137,0.5473684210526316,Medium,Spring,Autumn,52,42,0.8076923076923077,True,Spring + Autumn,春候鸟 + 秋候鸟
Black Kite,304,12,925,583,1809,0.5214408233276158,Medium,Spring,Autumn,304,244,0.8026315789473685,True,Spring + Autumn,春候鸟 + 秋候鸟
Scolopacidae sp.,5,3,7,9,11,0.5555555555555556,Medium,Spring,Autumn,5,4,0.8,True,Spring + Autumn,春候鸟 + 秋候鸟
Common Pochard x Ferruginous Duck (hybrid),5,1,8,11,14,0.45454545454545453,Low,Spring,Autumn,5,4,0.8,True,Spring + Autumn,春候鸟 + 秋候鸟
Bar-headed Goose,138,10,221,334,534,0.41317365269461076,Low,Spring,Autumn,138,110,0.7971014492753623,True,Spring + Autumn,春候鸟 + 秋候鸟
Amur Stonechat,318,11,1314,653,2806,0.4869831546707504,Low,Autumn,Spring,318,253,0.7955974842767296,True,Autumn + Spring,秋候鸟 + 春候鸟
Eurasian Skylark,362,11,1178,799,2262,0.4530663329161452,Low,Autumn,Spring,362,288,0.7955801104972375,True,Autumn + Spring,秋候鸟 + 春候鸟
Eastern Buzzard,474,12,2074,1226,4517,0.3866231647634584,Low,Spring,Autumn,474,377,0.7953586497890295,True,Spring + Autumn,春候鸟 + 秋候鸟
Rook,206,12,535,444,1061,0.46396396396396394,Low,Spring,Autumn,206,163,0.7912621359223301,True,Spring + Autumn,春候鸟 + 秋候鸟
Hen Harrier,357,11,1060,886,2231,0.40293453724604966,Low,Autumn,Spring,357,279,0.7815126050420168,True,Autumn + Spring,秋候鸟 + 春候鸟
goose sp.,9,3,13,20,24,0.45,Low,Spring,Autumn,9,7,0.7777777777777778,True,Spring + Autumn,春候鸟 + 秋候鸟
Asian Short-toed Lark,89,12,150,190,323,0.46842105263157896,Low,Spring,Autumn,89,68,0.7640449438202247,True,Spring + Autumn,春候鸟 + 秋候鸟
Yellow-browed Bunting,156,8,261,324,565,0.48148148148148145,Low,Autumn,Spring,156,117,0.75,True,Autumn + Spring,秋候鸟 + 春候鸟
Dendrocopos sp.,8,3,9,17,20,0.47058823529411764,Low,Spring,Autumn,8,6,0.75,True,Spring + Autumn,春候鸟 + 秋候鸟
finch sp.,4,2,6,9,13,0.4444444444444444,Low,Autumn,Spring,4,3,0.75,True,Autumn + Spring,秋候鸟 + 春候鸟
white egret sp.,4,3,4,9,12,0.4444444444444444,Low,Spring,Autumn,4,3,0.75,True,Spring + Autumn,春候鸟 + 秋候鸟
duck sp.,16,5,26,39,55,0.41025641025641024,Low,Spring,Autumn,16,12,0.75,True,Spring + Autumn,春候鸟 + 秋候鸟
