year,temperature,extreme_high_temp,extreme_low_temp,prcp,snow,humidity
2017,12.93274647887324,70,104,594.5,3.29,52.75205479452055
2018,12.582394366197184,66,104,511.9,5.8100000000000005,50.21061643835616
2019,13.103296703296703,85,99,436.9,6.65,48.68173515981735
2020,13.078947368421053,80,95,495.5,15.190000000000001,53.53517759562842
2021,11.855,56,94,801.1,17.15,59.18630136986302
2022,12.22972972972973,83,106,535.0,7.91,52.92614155251142
2023,13.675778546712804,79,103,738.6,18.41,53.06518264840182
2024,13.288214285714284,74,105,780.2,4.41,56.23508652094718
2025,12.293181818181818,65,108,729.4,5.180000000000001,55.102739726027394
