season,number_of_models,mean_r_squared,median_r_squared,mean_adjusted_r_squared,median_adjusted_r_squared,std_adjusted_r_squared
Autumn,68,0.5715222415801178,0.5819890548569602,0.2872972486010603,0.33118248777113635,0.3552773305432528
Spring,146,0.516166909665374,0.5097667526587367,0.2082414489281016,0.20585457006686653,0.3532001353553023
Summer,59,0.43634249989807733,0.43365923942812856,0.06784709102996686,0.03902566582706557,0.34589001380436085
Winter,45,0.5121218218561545,0.5665541727212726,0.2030295794112069,0.3030918333852112,0.3925388377230211
