Metric,Value
Number of Models,318.0
Mean R²,0.5126212915600822
Median R²,0.5089547059220001
Standard Deviation of R²,0.2190394203468085
Mean Adjusted R²,0.19836092419071474
Median Adjusted R²,0.19867649452456693
Standard Deviation of Adjusted R²,0.36322552381340406
