season,lag_years,number_of_species_factor_combinations,percentage
Autumn,0,87,42.64705882352941
Autumn,1,57,27.941176470588236
Autumn,2,60,29.411764705882355
Spring,0,166,37.89954337899543
Spring,1,124,28.31050228310502
Spring,2,148,33.789954337899545
Summer,0,51,28.8135593220339
Summer,1,60,33.89830508474576
Summer,2,66,37.28813559322034
Winter,0,45,33.33333333333333
Winter,1,33,24.444444444444443
Winter,2,57,42.22222222222222
