environment_factor,lag_years,number_of_species,percentage
humidity,0,126,39.62264150943396
humidity,1,98,30.81761006289308
humidity,2,94,29.559748427672954
prcp,0,137,43.08176100628931
prcp,1,72,22.641509433962266
prcp,2,109,34.276729559748425
temperature,0,86,27.044025157232703
temperature,1,104,32.70440251572327
temperature,2,128,40.25157232704403
